forms	f2441	OK-prior	https://www.irs.gov/pub/irs-prior/f2441--2025.pdf
forms	f3903	OK-prior	https://www.irs.gov/pub/irs-prior/f3903--2025.pdf
forms	f4684	OK-prior	https://www.irs.gov/pub/irs-prior/f4684--2025.pdf
forms	f4797	OK-prior	https://www.irs.gov/pub/irs-prior/f4797--2025.pdf
forms	f4952	OK-prior	https://www.irs.gov/pub/irs-prior/f4952--2025.pdf
forms	f5329	OK-prior	https://www.irs.gov/pub/irs-prior/f5329--2025.pdf
forms	f5405	OK-current	https://www.irs.gov/pub/irs-pdf/f5405.pdf
forms	f5695	OK-prior	https://www.irs.gov/pub/irs-prior/f5695--2025.pdf
forms	f8396	OK-prior	https://www.irs.gov/pub/irs-prior/f8396--2025.pdf
forms	f8606	OK-prior	https://www.irs.gov/pub/irs-prior/f8606--2025.pdf
forms	f8615	OK-prior	https://www.irs.gov/pub/irs-prior/f8615--2025.pdf
forms	f8814	OK-prior	https://www.irs.gov/pub/irs-prior/f8814--2025.pdf
forms	f8829	OK-prior	https://www.irs.gov/pub/irs-prior/f8829--2025.pdf
forms	f8853	OK-prior	https://www.irs.gov/pub/irs-prior/f8853--2025.pdf
forms	f8867	OK-current	https://www.irs.gov/pub/irs-pdf/f8867.pdf
forms	f9465	OK-current	https://www.irs.gov/pub/irs-pdf/f9465.pdf
forms	f4868	OK-prior	https://www.irs.gov/pub/irs-prior/f4868--2025.pdf
forms	fw2	OK-prior	https://www.irs.gov/pub/irs-prior/fw2--2025.pdf
forms	fw4	OK-prior	https://www.irs.gov/pub/irs-prior/fw4--2025.pdf
forms	fw9	OK-current	https://www.irs.gov/pub/irs-pdf/fw9.pdf
forms	f1099int	OK-current	https://www.irs.gov/pub/irs-pdf/f1099int.pdf
forms	f1099div	OK-current	https://www.irs.gov/pub/irs-pdf/f1099div.pdf
forms	f1099nec	OK-prior	https://www.irs.gov/pub/irs-prior/f1099nec--2025.pdf
forms	f1099misc	MISS	-
forms	f1099r	OK-prior	https://www.irs.gov/pub/irs-prior/f1099r--2025.pdf
forms	f1099b	OK-prior	https://www.irs.gov/pub/irs-prior/f1099b--2025.pdf
forms	f1099g	OK-current	https://www.irs.gov/pub/irs-pdf/f1099g.pdf
forms	f1099k	OK-current	https://www.irs.gov/pub/irs-pdf/f1099k.pdf
forms	f1099oid	OK-current	https://www.irs.gov/pub/irs-pdf/f1099oid.pdf
forms	f1099q	OK-prior	https://www.irs.gov/pub/irs-prior/f1099q--2025.pdf
forms	f1099s	OK-prior	https://www.irs.gov/pub/irs-prior/f1099s--2025.pdf
forms	f1099sa	OK-prior	https://www.irs.gov/pub/irs-prior/f1099sa--2025.pdf
forms	f1098	OK-prior	https://www.irs.gov/pub/irs-prior/f1098--2025.pdf
forms	f1098e	OK-prior	https://www.irs.gov/pub/irs-prior/f1098e--2025.pdf
forms	f1098t	OK-prior	https://www.irs.gov/pub/irs-prior/f1098t--2025.pdf
forms	f5498	OK-prior	https://www.irs.gov/pub/irs-prior/f5498--2025.pdf
forms	f1099a	OK-prior	https://www.irs.gov/pub/irs-prior/f1099a--2025.pdf
forms	f1099c	OK-prior	https://www.irs.gov/pub/irs-prior/f1099c--2025.pdf
forms	f1099cap	OK-prior	https://www.irs.gov/pub/irs-prior/f1099cap--2025.pdf
forms	f1099ls	OK-prior	https://www.irs.gov/pub/irs-prior/f1099ls--2025.pdf
forms	f1099ltc	OK-prior	https://www.irs.gov/pub/irs-prior/f1099ltc--2025.pdf
forms	f1099patr	MISS	-
forms	f1099sb	OK-prior	https://www.irs.gov/pub/irs-prior/f1099sb--2025.pdf
instructions	i1040gi	OK-prior	https://www.irs.gov/pub/irs-prior/i1040gi--2025.pdf
instructions	i1040x	OK-prior	https://www.irs.gov/pub/irs-prior/i1040x--2025.pdf
instructions	i1040s1	MISS	-
instructions	i1040s2	MISS	-
instructions	i1040s3	MISS	-
instructions	i1040sc	OK-prior	https://www.irs.gov/pub/irs-prior/i1040sc--2025.pdf
instructions	i1040sd	OK-prior	https://www.irs.gov/pub/irs-prior/i1040sd--2025.pdf
instructions	i1040se	OK-prior	https://www.irs.gov/pub/irs-prior/i1040se--2025.pdf
instructions	i1040sf	OK-prior	https://www.irs.gov/pub/irs-prior/i1040sf--2025.pdf
instructions	i1040sh	OK-prior	https://www.irs.gov/pub/irs-prior/i1040sh--2025.pdf
instructions	i1040sj	OK-prior	https://www.irs.gov/pub/irs-prior/i1040sj--2025.pdf
instructions	i1040sse	OK-prior	https://www.irs.gov/pub/irs-prior/i1040sse--2025.pdf
instructions	i8812	MISS	-
instructions	i8863	OK-prior	https://www.irs.gov/pub/irs-prior/i8863--2025.pdf
instructions	i8880	MISS	-
instructions	i8889	OK-prior	https://www.irs.gov/pub/irs-prior/i8889--2025.pdf
instructions	i8949	OK-prior	https://www.irs.gov/pub/irs-prior/i8949--2025.pdf
instructions	i8959	OK-prior	https://www.irs.gov/pub/irs-prior/i8959--2025.pdf
instructions	i8960	OK-prior	https://www.irs.gov/pub/irs-prior/i8960--2025.pdf
instructions	i8962	OK-prior	https://www.irs.gov/pub/irs-prior/i8962--2025.pdf
instructions	i2441	OK-prior	https://www.irs.gov/pub/irs-prior/i2441--2025.pdf
instructions	i3903	OK-prior	https://www.irs.gov/pub/irs-prior/i3903--2025.pdf
instructions	i4684	OK-prior	https://www.irs.gov/pub/irs-prior/i4684--2025.pdf
instructions	i4797	OK-prior	https://www.irs.gov/pub/irs-prior/i4797--2025.pdf
instructions	i4952	MISS	-
instructions	i5329	OK-prior	https://www.irs.gov/pub/irs-prior/i5329--2025.pdf
instructions	i5405	OK-current	https://www.irs.gov/pub/irs-pdf/i5405.pdf
instructions	i5695	OK-prior	https://www.irs.gov/pub/irs-prior/i5695--2025.pdf
instructions	i8396	MISS	-
instructions	i8606	OK-prior	https://www.irs.gov/pub/irs-prior/i8606--2025.pdf
instructions	i8615	OK-prior	https://www.irs.gov/pub/irs-prior/i8615--2025.pdf
instructions	i8814	OK-prior	https://www.irs.gov/pub/irs-prior/i8814--2025.pdf
instructions	i8829	OK-prior	https://www.irs.gov/pub/irs-prior/i8829--2025.pdf
instructions	i8853	OK-prior	https://www.irs.gov/pub/irs-prior/i8853--2025.pdf
instructions	i8867	OK-prior	https://www.irs.gov/pub/irs-prior/i8867--2025.pdf
instructions	i9465	OK-current	https://www.irs.gov/pub/irs-pdf/i9465.pdf
instructions	i4868	MISS	-
instructions	iw2w3	OK-prior	https://www.irs.gov/pub/irs-prior/iw2w3--2025.pdf
instructions	iw9	OK-current	https://www.irs.gov/pub/irs-pdf/iw9.pdf
instructions	i1099gi	OK-prior	https://www.irs.gov/pub/irs-prior/i1099gi--2025.pdf
instructions	i1099ac	OK-prior	https://www.irs.gov/pub/irs-prior/i1099ac--2025.pdf
instructions	i1099int	OK-current	https://www.irs.gov/pub/irs-pdf/i1099int.pdf
instructions	i1099div	OK-current	https://www.irs.gov/pub/irs-pdf/i1099div.pdf
instructions	i1099m	MISS	-
instructions	i1099nec	MISS	-
instructions	i1099r	OK-prior	https://www.irs.gov/pub/irs-prior/i1099r--2025.pdf
instructions	i1099b	OK-prior	https://www.irs.gov/pub/irs-prior/i1099b--2025.pdf
instructions	i1099k	OK-current	https://www.irs.gov/pub/irs-pdf/i1099k.pdf
instructions	i1099q	OK-prior	https://www.irs.gov/pub/irs-prior/i1099q--2025.pdf
instructions	i1099s	OK-prior	https://www.irs.gov/pub/irs-prior/i1099s--2025.pdf
instructions	i1098	OK-prior	https://www.irs.gov/pub/irs-prior/i1098--2025.pdf
