ref_area,measure,year,value
ISL,PR_INC_MRKT,2018,19.914
ISL,PR_INC_MRKT,2017,16.9126
ISL,PR_INC_MRKT,2016,17.5883
ISL,PR_INC_MRKT,2015,19.3774
ISL,PR_INC_DISP,2019,5.6427
ISL,PR_INC_DISP,2018,5.0279
ISL,PR_INC_DISP,2017,4.8592
ISL,PR_INC_DISP,2016,6.0297
ISL,PR_INC_MRKT,2014,19.3732
ISL,PR_INC_MRKT,2013,19.2215
HUN,PR_INC_DISP,2013,8.5762
HUN,PR_INC_DISP,2012,8.5465
HUN,PR_INC_DISP,2011,7.6938
HUN,PR_INC_DISP,2010,7.3356
HUN,PR_INC_DISP,2023,9.699
HUN,PR_INC_MRKT,2017,31.8177
HUN,PR_INC_MRKT,2016,32.2918
HUN,PR_INC_MRKT,2015,34.5138
HUN,PR_INC_MRKT,2014,34.4512
HUN,PR_INC_MRKT,2013,35.6389
HUN,PR_INC_MRKT,2012,36.2445
HUN,PR_INC_DISP,2017,8.0398
HUN,PR_INC_DISP,2016,7.7967
HUN,PR_INC_DISP,2015,8.4746
HUN,PR_INC_DISP,2014,8.7165
HUN,PR_INC_MRKT,2011,37.527
HUN,PR_INC_MRKT,2010,37.058
GRC,PR_INC_MRKT,2011,35.8122
GRC,PR_INC_MRKT,2010,32.804
GRC,PR_INC_MRKT,2023,29.9391
GRC,PR_INC_MRKT,2022,29.2905
GRC,PR_INC_MRKT,2021,28.4925
GRC,PR_INC_MRKT,2020,30.1636
GRC,PR_INC_MRKT,2019,30.0938
GRC,PR_INC_MRKT,2018,31.2459
GRC,PR_INC_MRKT,2017,32.8308
GRC,PR_INC_MRKT,2016,33.2874
GRC,PR_INC_DISP,2019,11.4854
GRC,PR_INC_DISP,2018,12.0841
GRC,PR_INC_DISP,2017,12.6336
GRC,PR_INC_DISP,2016,14.3885
GRC,PR_INC_DISP,2015,14.9393
GRC,PR_INC_DISP,2014,14.7948
GRC,PR_INC_DISP,2013,15.1168
GRC,PR_INC_DISP,2012,14.9295
GRC,PR_INC_DISP,2011,15.0552
GRC,PR_INC_DISP,2010,14.0559
GRC,PR_INC_MRKT,2015,34.5005
GRC,PR_INC_DISP,2023,11.9699
GRC,PR_INC_DISP,2022,11.1636
GRC,PR_INC_DISP,2021,11.6565
GRC,PR_INC_DISP,2020,12.9562
GRC,PR_INC_MRKT,2014,34.3775
GRC,PR_INC_MRKT,2013,34.7255
DEU,PR_INC_MRKT,2016,32.73
DEU,PR_INC_MRKT,2015,33.51
DEU,PR_INC_MRKT,2013,32.77
DEU,PR_INC_MRKT,2011,33.02
DEU,PR_INC_MRKT,2023,31.17
DEU,PR_INC_MRKT,2021,31.4
DEU,PR_INC_MRKT,2020,31.65
DEU,PR_INC_MRKT,2019,31.97
DEU,PR_INC_DISP,2018,9.81
DEU,PR_INC_DISP,2017,10.37
DEU,PR_INC_DISP,2016,10.41
DEU,PR_INC_DISP,2015,10.11
DEU,PR_INC_DISP,2013,9.05
DEU,PR_INC_DISP,2011,8.67
DEU,PR_INC_DISP,2014,9.5
