ref_area,age,year,value
DEU,Y18T65,2011,0.4202
DEU,Y_GT65,2020,0.76328
DEU,Y_GT65,2021,0.78312
FRA,Y18T65,2021,0.444
FRA,Y_GT65,2020,0.821
FRA,Y_GT65,2021,0.825
FRA,_T,2020,0.515
FRA,_T,2021,0.526
FRA,Y_GT65,2023,0.811
FRA,Y18T65,2023,0.433
FRA,_T,2023,0.517
FRA,_T,2022,0.524
FRA,Y18T65,2022,0.438
FRA,Y_GT65,2022,0.826
FIN,Y_GT65,1990,0.829973
FIN,_T,1990,0.403677
FIN,_T,1991,0.413205
FIN,Y_GT65,1991,0.796974
FIN,Y18T65,1991,0.369384
FIN,Y18T65,1992,0.399399
FIN,Y_GT65,1992,0.824459
FIN,_T,1992,0.443879
FIN,_T,1993,0.474406
FIN,_T,2018,0.50867
FIN,_T,2019,0.51242
FIN,Y_GT65,2019,0.84094
FIN,Y18T65,2019,0.42952
FIN,_T,2021,0.51782
FIN,Y_GT65,2000,0.888434
FIN,_T,2000,0.478469
FIN,Y18T65,2020,0.43
FIN,Y_GT65,2020,0.854
FIN,_T,2020,0.516
FIN,Y18T65,2003,0.423558
FIN,Y18T65,2004,0.424622
FIN,Y_GT65,2004,0.853981
FIN,_T,2004,0.480386
FIN,_T,2005,0.483427
FIN,Y_GT65,2005,0.853021
FIN,Y18T65,2005,0.423257
FIN,Y18T65,2006,0.428761
FIN,Y_GT65,2006,0.855783
FIN,_T,2006,0.487653
FIN,_T,2007,0.4764
FIN,Y_GT65,2007,0.844502
FIN,Y18T65,2007,0.41506
FIN,Y18T65,2008,0.406637
FIN,Y_GT65,2008,0.867075
FIN,_T,2008,0.471534
FIN,_T,2009,0.479078
FIN,Y_GT65,2009,0.86302
FIN,Y18T65,2009,0.416366
FIN,Y18T65,2010,0.422947
FIN,Y_GT65,2010,0.857343
FIN,_T,2010,0.486911
FIN,_T,2011,0.485431
FIN,Y_GT65,2011,0.841826
FIN,Y18T65,2011,0.422473
ISL,Y_GT65,2009,0.661331
ISL,Y_GT65,2010,0.707923
ISL,Y_GT65,2011,0.737175
ISL,Y18T65,2018,0.317128
ISL,Y_GT65,2012,0.731707
ISL,Y_GT65,2013,0.708327
ISL,Y_GT65,2014,0.742963
ISL,Y_GT65,2015,0.730906
ISL,Y_GT65,2005,0.71591
ISL,Y18T65,2005,0.333508
HUN,Y_GT65,2023,0.796138
HUN,_T,2023,0.425047
HUN,_T,2017,0.478054
HUN,Y18T65,2004,0.493348
HUN,Y18T65,2005,0.500812
HUN,Y18T65,2006,0.462709
HUN,Y18T65,2007,0.467141
HUN,Y18T65,2008,0.449442
HUN,Y18T65,2009,0.446285
HUN,Y18T65,2010,0.445049
HUN,Y18T65,2011,0.444248
HUN,Y18T65,2012,0.444286
HUN,Y18T65,2013,0.458902
HUN,Y18T65,2014,0.424654
HUN,Y18T65,2015,0.423056
HUN,Y18T65,2016,0.409236
HUN,Y18T65,2017,0.404652
HUN,_T,2007,0.512758
HUN,_T,2008,0.502019
HUN,_T,2009,0.49923
HUN,_T,2010,0.506431
HUN,_T,2011,0.507178
HUN,_T,2012,0.507786
HUN,_T,2013,0.520744
HUN,_T,2014,0.492131
HUN,_T,2015,0.493774
HUN,_T,2004,0.543626
HUN,Y_GT65,2008,0.812525
HUN,Y_GT65,2009,0.805143
HUN,Y_GT65,2010,0.820359
HUN,Y_GT65,2011,0.815303
HUN,Y_GT65,2012,0.83196
HUN,Y_GT65,2013,0.847857
HUN,Y_GT65,2014,0.842147
HUN,Y_GT65,2015,0.841464
HUN,Y_GT65,2016,0.823734
HUN,Y_GT65,2017,0.742587
HUN,_T,2016,0.482309
HUN,Y_GT65,2004,0.838211
HUN,Y_GT65,2005,0.844591
HUN,Y_GT65,2006,0.833874
HUN,Y_GT65,2007,0.830175
HUN,_T,2005,0.550308
HUN,_T,2006,0.5084
GRC,_T,2010,0.521907
GRC,_T,2011,0.549041
GRC,_T,2012,0.564277
GRC,_T,2013,0.544545
GRC,_T,2014,0.541259
GRC,_T,2015,0.546908
GRC,_T,2016,0.535476
GRC,_T,2017,0.52773
GRC,_T,2018,0.517222
GRC,_T,2019,0.520329
