quarter,series,value
2019:Q1,bottom50,1.6
2019:Q2,top1,30.2
2019:Q2,top10,69.9
2019:Q2,bottom50,1.6
2019:Q3,top1,30.1
2019:Q3,top10,69.9
2019:Q3,bottom50,1.7
2019:Q4,top1,30.4
2019:Q4,top10,69.9
2019:Q4,bottom50,1.7
2020:Q1,top1,29.0
2020:Q1,top10,68.3
2020:Q1,bottom50,1.9
2020:Q2,top1,29.6
2020:Q2,top10,68.5
2020:Q2,bottom50,2.0
2020:Q3,top1,29.8
2020:Q3,top10,68.4
2020:Q3,bottom50,2.1
2020:Q4,top1,30.4
2020:Q4,top10,68.7
2020:Q4,bottom50,2.2
2021:Q1,top1,30.5
2021:Q1,top10,68.4
2021:Q1,bottom50,2.3
2021:Q2,top1,30.7
2021:Q2,top10,68.3
2021:Q2,bottom50,2.4
2021:Q3,top1,30.7
2021:Q3,top10,68.0
2021:Q3,bottom50,2.4
2021:Q4,top1,30.9
2021:Q4,top10,68.1
2021:Q4,bottom50,2.4
2022:Q1,top1,30.4
2022:Q1,top10,67.2
2022:Q1,bottom50,2.6
2022:Q2,top1,29.4
2022:Q2,top10,65.9
2022:Q2,bottom50,2.7
2022:Q3,top1,29.3
2022:Q3,top10,65.7
2022:Q3,bottom50,2.7
2022:Q4,top1,29.7
2022:Q4,top10,66.2
2022:Q4,bottom50,2.6
2023:Q1,top1,30.0
2023:Q1,top10,66.5
2023:Q1,bottom50,2.6
2023:Q2,top1,30.0
2023:Q2,top10,66.4
2023:Q2,bottom50,2.6
2023:Q3,top1,29.8
2023:Q3,top10,66.2
2023:Q3,bottom50,2.6
2023:Q4,top1,30.2
2023:Q4,top10,66.7
2023:Q4,bottom50,2.5
2024:Q1,top1,30.4
2024:Q1,top10,66.9
2024:Q1,bottom50,2.5
2024:Q2,top1,30.4
2024:Q2,top10,66.8
2024:Q2,bottom50,2.5
2024:Q3,top1,30.7
2024:Q3,top10,67.2
2024:Q3,bottom50,2.4
2024:Q4,top1,30.9
2024:Q4,top10,67.4
2024:Q4,bottom50,2.4
2025:Q1,top1,30.8
2025:Q1,top10,67.2
2025:Q1,bottom50,2.4
2025:Q2,top1,31.1
2025:Q2,top10,67.5
2025:Q2,bottom50,2.4
2025:Q3,top1,31.5
2025:Q3,top10,68.0
2025:Q3,bottom50,2.4
2025:Q4,top1,31.8
2025:Q4,top10,68.3
2025:Q4,bottom50,2.4
2026:Q1,top1,31.7
2026:Q1,top10,68.1
2026:Q1,bottom50,2.4
2026:Q2,top1,32.5
2026:Q2,top10,68.9
2026:Q2,bottom50,2.3
